aggiornamento,numero_casi,nome_regione,lng,lat
2020-02-24 12:00:00,167, Lombardia,9.227828979492188,45.57463894211682
2020-02-24 12:00:00,27, Veneto,11.854319842000052,45.65492501300008
2020-02-24 12:00:00,18, Emilia-Romagna,11.039213647000055,44.52591084900007
2020-02-24 12:00:00,4, Piemonte,7.92049247500006,45.057301080000066
2020-02-24 12:00:00,3, Lazio,12.772626321000075,41.975681889000036
2020-02-24 18:00:00,167, Lombardia,9.227828979492188,45.57463894211682
2020-02-24 18:00:00,32, Veneto,11.854319842000052,45.65492501300008
2020-02-24 18:00:00,18, Emilia-Romagna,11.039213647000055,44.52591084900007
2020-02-24 18:00:00,3, Piemonte,7.92049247500006,45.057301080000066
2020-02-24 18:00:00,3, Lazio,12.772626321000075,41.975681889000036
2020-02-25 12:00:00,212, Lombardia,9.227828979492188,45.57463894211682
2020-02-25 12:00:00,38, Veneto,11.854319842000052,45.65492501300008
2020-02-25 12:00:00,23, Emilia-Romagna,11.039213647000055,44.52591084900007
2020-02-25 12:00:00,3, Piemonte,7.92049247500006,45.057301080000066
2020-02-25 12:00:00,3, Lazio,12.772626321000075,41.975681889000036
2020-02-25 12:00:00,2, Toscana,11.126187689000062,43.45082948600003
2020-02-25 12:00:00,1, Sicilia,14.000000000000055,37.500000000000064
2020-02-25 12:00:00,1, Provincia autonoma di Bolzano,11.37359619140625,46.538082005463075
2020-02-25 18:00:00,240, Lombardia,9.227828979492188,45.57463894211682
2020-02-25 18:00:00,43, Veneto,11.854319842000052,45.65492501300008
2020-02-25 18:00:00,26, Emilia-Romagna,11.039213647000055,44.52591084900007
2020-02-25 18:00:00,3, Piemonte,7.92049247500006,45.057301080000066
2020-02-25 18:00:00,3, Lazio,12.772626321000075,41.975681889000036
2020-02-25 18:00:00,2, Toscana,11.126187689000062,43.45082948600003
2020-02-25 18:00:00,2, Sicilia,14.000000000000055,37.500000000000064
2020-02-25 18:00:00,1, Liguria,9.427370000000053,44.415350258000046
2020-02-25 18:00:00,1, Provincia autonoma di Bolzano,11.37359619140625,46.538082005463075
2020-02-26 12:00:00,258, Lombardia,9.227828979492188,45.57463894211682
2020-02-26 12:00:00,71, Veneto,11.854319842000052,45.65492501300008
2020-02-26 12:00:00,30, Emilia-Romagna,11.039213647000055,44.52591084900007
2020-02-26 12:00:00,3, Piemonte,7.92049247500006,45.057301080000066
2020-02-26 12:00:00,3, Lazio,12.772626321000075,41.975681889000036
2020-02-26 12:00:00,2, Toscana,11.126187689000062,43.45082948600003
2020-02-26 12:00:00,3, Sicilia,14.000000000000055,37.500000000000064
2020-02-26 12:00:00,2, Liguria,9.427370000000053,44.415350258000046
2020-02-26 12:00:00,1, Provincia autonoma di Bolzano,11.37359619140625,46.538082005463075
2020-02-26 12:00:00,1, Marche,13.137824067000055,43.34820017700007
2020-02-26 18:00:00,258, Lombardia,9.227828979492188,45.57463894211682
2020-02-26 18:00:00,71, Veneto,11.854319842000052,45.65492501300008
2020-02-26 18:00:00,47, Emilia-Romagna,11.039213647000055,44.52591084900007
2020-02-26 18:00:00,3, Piemonte,7.92049247500006,45.057301080000066
2020-02-26 18:00:00,3, Lazio,12.772626321000075,41.975681889000036
2020-02-26 18:00:00,2, Toscana,11.126187689000062,43.45082948600003
2020-02-26 18:00:00,3, Sicilia,14.000000000000055,37.500000000000064
2020-02-26 18:00:00,11, Liguria,9.427370000000053,44.415350258000046
2020-02-26 18:00:00,1, Provincia autonoma di Bolzano,11.37359619140625,46.538082005463075
2020-02-26 18:00:00,1, Marche,13.137824067000055,43.34820017700007
2020-02-27 12:00:00,305, Lombardia,9.227828979492188,45.57463894211682
2020-02-27 12:00:00,98, Veneto,11.854319842000052,45.65492501300008
2020-02-27 12:00:00,97, Emilia-Romagna,11.039213647000055,44.52591084900007
2020-02-27 12:00:00,2, Piemonte,7.92049247500006,45.057301080000066
2020-02-27 12:00:00,3, Lazio,12.772626321000075,41.975681889000036
2020-02-27 12:00:00,2, Toscana,11.126187689000062,43.45082948600003
2020-02-27 12:00:00,3, Sicilia,14.000000000000055,37.500000000000064
2020-02-27 12:00:00,11, Liguria,9.427370000000053,44.415350258000046
2020-02-27 12:00:00,1, Provincia autonoma di Bolzano,11.37359619140625,46.538082005463075
2020-02-27 12:00:00,3, Marche,13.137824067000055,43.34820017700007
2020-02-27 12:00:00,2, Campania,14.840115810000045,40.85973483500004
2020-02-27 12:00:00,1, Abruzzo,13.855048784000076,42.227555685000034
2020-02-27 18:00:00,403, Lombardia,9.227828979492188,45.57463894211682
2020-02-27 18:00:00,111, Veneto,11.854319842000052,45.65492501300008
2020-02-27 18:00:00,97, Emilia-Romagna,11.039213647000055,44.52591084900007
2020-02-27 18:00:00,2, Piemonte,7.92049247500006,45.057301080000066
2020-02-27 18:00:00,3, Lazio,12.772626321000075,41.975681889000036
2020-02-27 18:00:00,2, Toscana,11.126187689000062,43.45082948600003
2020-02-27 18:00:00,4, Sicilia,14.000000000000055,37.500000000000064
2020-02-27 18:00:00,19, Liguria,9.427370000000053,44.415350258000046
2020-02-27 18:00:00,1, Provincia autonoma di Bolzano,11.37359619140625,46.538082005463075
2020-02-27 18:00:00,3, Marche,13.137824067000055,43.34820017700007
2020-02-27 18:00:00,3, Campania,14.840115810000045,40.85973483500004
2020-02-27 18:00:00,1, Abruzzo,13.855048784000076,42.227555685000034
2020-02-27 18:00:00,1, Puglia,16.618785484000057,40.98504106300004
2020-02-28 18:00:00,531, Lombardia,9.227828979492188,45.57463894211682
